,contributor,nb_wf,list_wf
511,pditommaso,49,"{'nextflow-io/nfcamp-tutorial', 'stevekm/nextflow-demos', 'CRG-CNAG/CalliNGS-NF', 'cbcrg/nf-phdcourse21', 'harleenduggal/nfcore-rnaseq', 'evanfloden/nf-module-demo', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'nextflow-io/nf-hack17-tutorial', 'junyu-boston/dicerna-rnaseq', 'biocorecrg/indrop', 'FAANG/GSM-pipeline', 'pditommaso/nf-foo', 'IARCbioinfo/gatk4-HaplotypeCaller-nf', 'nf-core/methylseq', 'nextflow-io/blast-example', 'pilm-bioinformatics/pipelines-nf-fastrnaseq', 'pditommaso/nf-course-unimi-2021', 'nf-core/modules', 'nf-core/smrnaseq', 'nf-core/hlatyping', 'alam1988/Nextflow', 'tiwarialok/new-rnaseq', 'mageshwarm/rnaseq-nf-magesh', 'gis-rpd/rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf', 'lifebit-ai/kallisto-sra', 'biocorecrg/BioNextflow', 'CAMI-challenge/CAMITAX', 'biocorecrg/vectorQC', 'alesssia/YAMP', 'HPCBio/16S-rDNA-dada2-pipeline', 'tobsecret/BADAS_Nextflow_Tutorial', 'GMS6804-master/rnatoy', 'nextflow-io/gccbosc18-training', 'lauramble/rnaseq-vizfada', 'GMS6804-master/Sarek', 'biocorecrg/C4LWG-2018', 'Biocentric/rnaseq_debug', 'cbcrg/nf-phdcourse19', 'milescsmith/gcls-rnaseq-nf', 'GMS6804-master/YAMP', 'mageshwarm/blast-example-magesh', 'cbcrg/nf-phdcourse20', 'nf-core/cookiecutter', 'melnel000/Sarek_CBIO', 'nf-core/rnaseq', 'nextflow-io/rnaseq-nf', 'nextflow-io/nf-hack18', 'nextflow-io/elixir-workshop-21'}"
499,maxulysse,46,"{'Gregor-Mendel-Institute/nf-methylpy', 'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'nf-core/epitopeprediction', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'Leon-Bichmann/Phosphoproteomics', 'sickle-in-africa/saw.sarek', 'nf-core/viralrecon', 'sripaladugu/germline_somatic', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/proteomicslfq', 'nf-core/atacseq', 'maxibor/coproID', 'nf-core/methylseq', 'lengfei5/atacseq_nf', 'nf-core/mag', 'nf-core/eager', 'nf-core/modules', 'nf-core/sarek', 'nf-core/rnavar', 'nf-core/smrnaseq', 'nf-core/hlatyping', 'alam1988/Nextflow', 'nf-core/nanoseq', 'nf-core/airrflow', 'nf-core/bacass', 'cgpu/PGP-UK-sarek', 'rastiks/viralrecon', 'nf-core/vipr', 'nf-core/cageseq', 'nf-core/scrnaseq', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'GMS6804-master/Sarek', 'Leon-Bichmann/diaproteomics', 'nf-core/mnaseseq', 'UMCUGenetics/sarek_ubec', 'nf-core/rnafusion', 'nf-core/kmermaid', 'nf-core/cookiecutter', 'nf-core/chipseq', 'melnel000/Sarek_CBIO', 'nf-core/rnaseq', 'nf-core/exoseq', 't-neumann/slamseq'}"
543,ewels,45,"{'Gregor-Mendel-Institute/nf-methylpy', 'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'nf-core/cutandrun', 'markgene/cutnrun', 'ewels/nf-core-dsl2pipelinetest', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'nf-core/viralrecon', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/gwas', 'nf-core/atacseq', 'jiangfuqing/Chip-seq', 'nf-core/methylseq', 'lengfei5/atacseq_nf', 'nf-core/mag', 'nf-core/eager', 'nf-core/modules', 'nf-core/sarek', 'nf-core/smrnaseq', 'nf-core/hlatyping', 'alam1988/Nextflow', 'nf-core/nanoseq', 'nf-core/neutronstar', 'nf-core/testpipeline', 'nf-core/airrflow', 'nf-core/bacass', 'nf-core/bactmap', 'rastiks/viralrecon', 'nf-core/vipr', 'nf-core/cageseq', 'jianhong/nf-core-hicar', 'nf-core/clipseq', 'GMS6804-master/Sarek', 'Leon-Bichmann/diaproteomics', 'UMCUGenetics/sarek_ubec', 'nf-core/rnafusion', 'nf-core/kmermaid', 'nf-core/cookiecutter', 'nf-core/chipseq', 'melnel000/Sarek_CBIO', 'nf-core/rnaseq', 'nf-core/exoseq', 'jiangfuqing/atac-seq'}"
1001,apeltzer,42,"{'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'markgene/cutnrun', 'glormph/nf-core-dda-quant-proteomics', 'eQTL-Catalogue/rnaseq', 'nf-core/epitopeprediction', 'harleenduggal/RNASEQ', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/atacseq', 'jiangfuqing/Chip-seq', 'maxibor/coproID', 'nf-core/methylseq', 'lengfei5/atacseq_nf', 'nf-core/mag', 'nf-core/eager', 'nf-core/modules', 'nf-core/sarek', 'nf-core/smrnaseq', 'nf-core/hlatyping', 'alam1988/Nextflow', 'nf-core/nascent', 'nf-core/nanostring', 'nf-core/airrflow', 'nf-core/bacass', 'cgpu/PGP-UK-sarek', 'nf-core/bactmap', 'nf-core/vipr', 'nf-core/cageseq', 'nf-core/scrnaseq', 'nf-core/dualrnaseq', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UMCUGenetics/sarek_ubec', 'nf-core/cookiecutter', 'bhagesh-codebeast/nextflowdualrnaseq', 'tobsecret/covid19', 'nf-core/chipseq', 'nf-core/rnaseq', 'nf-core/exoseq', 'jiangfuqing/atac-seq'}"
691,nf-core-bot,40,"{'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'nf-core/cutandrun', 'nf-core/raredisease', 'nf-core/epitopeprediction', 'harleenduggal/RNASEQ', 'sickle-in-africa/saw.sarek', 'nf-core/viralrecon', 'sripaladugu/germline_somatic', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/proteomicslfq', 'subwaystation/pangenome', 'nf-core/gwas', 'bigbio/quantms', 'nf-core/methylseq', 'nf-core/mag', 'nf-core/eager', 'nf-core/sarek', 'nf-core/rnavar', 'nf-core/smrnaseq', 'nf-core/hlatyping', 'alam1988/Nextflow', 'nf-core/nanoseq', 'nf-core/testpipeline', 'nf-core/airrflow', 'nf-core/bacass', 'nf-core/cageseq', 'nf-core/taxprofiler', 'nf-core/scrnaseq', 'nf-core/clipseq', 'jianhong/nf-core-hicar', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'nf-core/dualrnaseq', 'Leon-Bichmann/diaproteomics', 'UMCUGenetics/sarek_ubec', 'nf-core/funcscan', 'nf-core/kmermaid', 'bhagesh-codebeast/nextflowdualrnaseq', 'nf-core/rnaseq'}"
461,drpatelh,34,"{'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'markgene/cutnrun', 'harleenduggal/RNASEQ', 'nf-core/viralrecon', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/gwas', 'nf-core/atacseq', 'jiangfuqing/Chip-seq', 'nf-core/methylseq', 'gwright99/nf-core-dragen', 'lengfei5/atacseq_nf', 'nf-core/eager', 'nf-core/modules', 'nf-core/smrnaseq', 'alam1988/Nextflow', 'nf-core/nanoseq', 'drpatelh/nf-core-sgrnaquant', 'nf-core/bacass', 'nf-core/bactmap', 'rastiks/viralrecon', 'drpatelh/nf-core-fetchdata', 'nf-core/cageseq', 'heuermh/artic', 'csawye01/nf-core-demultiplex', 'nf-core/clipseq', 'nf-core/mnaseseq', 'paulstretenowich/nf-core-viralrecon', 'tobsecret/covid19', 'nf-core/chipseq', 'nf-core/rnaseq', 'jiangfuqing/atac-seq', 't-neumann/slamseq'}"
62,ggabernet,31,"{'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'nf-core/epitopeprediction', 'harleenduggal/RNASEQ', 'Leon-Bichmann/Phosphoproteomics', 'sickle-in-africa/saw.sarek', 'nf-core/viralrecon', 'sripaladugu/germline_somatic', 'qbic-pipelines/vcreport', 'junyu-boston/dicerna-rnaseq', 'nf-core/proteomicslfq', 'nf-core/atacseq', 'lengfei5/atacseq_nf', 'nf-core/mag', 'nf-core/eager', 'nf-core/modules', 'FriederikeHanssen/bamtofastq', 'nf-core/sarek', 'nf-core/hlatyping', 'alam1988/Nextflow', 'qbic-pipelines/cellranger', 'nf-core/testpipeline', 'nf-core/airrflow', 'nf-core/bactmap', 'rastiks/viralrecon', 'nf-core/scrnaseq', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'UMCUGenetics/sarek_ubec', 'ggabernet/dsltwotest', 'ggabernet/elixir', 'nf-core/rnaseq'}"
760,cgpu,29,"{'lifebit-ai/phewas', 'lifebit-ai/panelR', 'cgpu/sarek-mirror', 'cgpu/Mutect2TumorOnlyMode-nf', 'cgpu/sparkling-gatk', 'cgpu/pgp-chronek', 'cgpu/SelectVariants', 'lifebit-ai/bam2cram', 'lifebit-ai/pcgr-nf', 'lifebit-ai/GenomeChronicler-Sarek-nf', 'cgpu/PGP-UK-sarek', 'cgpu/samtools-index-nf', 'cgpu/multiVCF-chopper', 'cgpu/PON', 'cgpu/panelR', 'lifebit-ai/tinynf', 'Shicheng-Guo/gwasgsa', 'cgpu/sarek-mirror-cache', 'cgpu/ion-somatic-variant-calling', 'cgpu/sparkling-preprocessing', 'cgpu/covbench', 'lifebit-ai/relate', 'lifebit-ai/sanger-demo-rnaseq', 'cgpu/bamerge', 'lifebit-ai/long-reads', 'cgpu/valibam', 'lifebit-ai/simulate', 'cgpu/sarek-genomechronicler', 'cgpu/haplosarek'}"
433,olgabot,27,"{'czbiohub/nextflow-tutorial-2019', 'harleenduggal/nfcore-rnaseq', 'czbiohub/nf-bowtie', 'harleenduggal/RNASEQ', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'czbiohub/nf-extractcoding', 'junyu-boston/dicerna-rnaseq', 'nf-core/crisprvar', 'czbiohub/nf-sicilian', 'nf-core/eager', 'czbiohub/nf-ortholog', 'nf-core/sarek', 'alam1988/Nextflow', 'czbiohub/nf-large-assembly', 'czbiohub/nf-core-test', 'czbiohub/nf-simulaternaseq', 'czbiohub/nf-predictorthologs', 'nf-core/scrnaseq', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'czbiohub/demux', 'UMCUGenetics/sarek_ubec', 'czbiohub/sc2-illumina-pipeline', 'czbiohub/nf-tracer', 'nf-core/kmermaid', 'nf-core/rnaseq', 'czbiohub/splicemotifs'}"
694,PhilPalmer,24,"{'lifebit-ai/GangSTR', 'lifebit-ai/phewas', 'nf-core/ampliseq', 'raonyguimaraes/fast-ngs-admix', 'lifebit-ai/hisat2', 'PhilPalmer/get-sra-nf', 'lifebit-ai/HipSTR', 'lifebit-ai/qc-dsl2', 'lifebit-ai/somatic-variant-caller', 'lifebit-ai/strelka2', 'pprieto/dragen', 'lifebit-ai/prs', 'lifebit-ai/qc-nf', 'lifebit-ai/fam-gwas', 'PhilPalmer/lbf-hack-tutorial', 'lifebit-ai/roary', 'lifebit-ai/vcf-annotator', 'lifebit-ai/consensus-variant-caller', 'lifebit-ai/ExpansionHunter', 'TheJacksonLaboratory/splicing-pipelines-nf', 'lifebit-ai/sanger-demo-rnaseq', 'lifebit-ai/long-reads', 'lifebit-ai/Tardis', 'lifebit-ai/DeepVariant'}"
