,name,forks,stars,watchers,subscribers
0,dwheelerau/snakemake-vsearch-otutab,0,0,0,1
1,tianwen0003/RNA-seq-data-analysis,0,2,2,2
2,katrinleinweber/omics_asthma,0,0,0,2
3,liulab-dfci/CHIPS,3,12,12,2
4,andersonbrito/latamvoc,0,0,0,1
5,blab/cartography,1,1,1,5
6,elimoss/metagenomics_workflows,12,15,15,0
7,LoGT-KULeuven/y2h_Bam35-Bt_analysis,0,0,0,2
8,dfloresDIL/MEGA,0,1,1,0
9,tyhsu389/uphl_reference_free,0,1,1,1
10,evolbioinfo/HIV1-CRF19_Cuba,0,0,0,3
11,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
12,niekh-13/phylogenetic_workflows,0,2,2,2
13,bposzewiecka/phaseDancer,0,0,0,1
14,jennahd/HGT_trees,0,1,1,2
15,jaimicore/JASPAR_2020,0,0,0,1
16,eanbit-rt/ReproducibleResearch,4,0,0,2
17,enezermjema/Mini-project-group-06,8,1,1,1
18,marcodelapierre/nanopore-smk,0,0,0,1
19,tacazares/snakeATAC,0,2,2,1
20,CGI-stLFR/CGI_WGS_Pipeline,0,0,0,3
21,Dartmouth-Data-Analytics-Core/DAC-RNAseq-pipeline,3,2,2,2
22,vodkatad/WXS_SNV,0,0,0,2
23,Shmuppel/diagnostic-genome-analysis,0,0,0,1
24,Shmuppel/diagnostic-genome-analysis,0,0,0,1
25,dbrg77/plate_scATAC-seq,14,38,38,5
26,troyrowan/imputation-pipeline,0,0,0,1
27,dbrg77/scATAC_snakemake,4,11,11,3
28,LUMC/HAMLET,3,3,3,3
29,mw55309/MAGCloudCosts,0,0,0,3
30,fw262/TAR-scRNA-seq,5,8,8,3
31,jtpoirier/proteomegenerator,3,8,8,6
32,csoeder/PsiSeq2,0,1,1,3
33,CarlborgGenomics/Stripes,2,2,2,2
34,bhattlab/bhattlab_workflows,12,35,35,10
35,maxlcummins/pipelord,1,3,3,3
36,vodkatad/WXS_SNV,0,0,0,2
37,DSJM/ConbAC,0,1,1,1
38,evolbioinfo/phylocovid,0,3,3,3
39,vibbits/example-bioinformatics-project,0,2,2,3
40,conchoecia/hormiphora,0,0,0,3
41,tijeco/FUSTr,3,5,5,3
42,snaqvi1990/pgc_scrnaseq,0,0,0,1
43,liluacrobat/Shotgun_inStrain,0,0,0,1
44,iossifovlab/snakeobjectsTutorial,0,0,0,1
45,EichlerLab/pbsv,0,3,3,2
46,tjbencomo/bulk-rnaseq,0,1,1,1
47,samnooij/FECBUD_reference-free_analysis,0,0,0,1
48,oskarvid/snakemake_germline_legacy,2,3,3,2
49,AAFC-BICoE/snakemake-partial-genome-pipeline,1,1,1,8
50,dst-umms/MAMBA,1,0,0,4
51,emorice/RNASeq_example,0,0,0,1
52,msauria/T2T_Encode_Analysis,1,1,1,2
53,fcarelli/glre,0,0,0,1
54,GeorgiaBreckell/assembly_pipeline,0,1,1,0
55,liulab-dfci/MAESTRO,59,208,208,12
56,sanjaynagi/Ne_Ag,0,0,0,1
57,IuriyLeb/drosophila_project,0,0,0,0
58,caipine/Snakemake-CHIPseq,0,1,1,2
59,longread-well/bakeoff,1,1,1,4
60,linsalrob/atavide,0,2,2,2
61,yongchao/motrpac_rrbs,0,0,0,3
62,russell-ryan-lab/CRISPRi_pipeline,0,1,1,3
63,mrvollger/SmkTemplate,0,18,18,1
64,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
65,thw17/Rupp_etal_Anole_DosageCompensation,1,0,0,1
66,KoesGroup/Snakemake_trinity,0,1,1,3
67,aryarm/as_analysis,7,6,6,2
68,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
69,pablo-gar/somatic_mutations_GTEx,12,9,9,1
70,eanbit-rt/ReproducibleResearch,4,0,0,2
71,biopig/chip-seq.snakemake,0,0,0,0
72,tgac-vumc/QDNAseq.snakemake,0,1,1,5
73,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
74,scottgigante/haplotyped-methylome,6,18,18,4
75,pimentel/bears_iplant,4,7,7,3
76,fcarelli/glre,0,0,0,1
77,dfloresDIL/MEGA,0,1,1,0
78,hchyang/PSiTE,2,9,9,3
79,crazyhottommy/pyflow-ChIPseq,37,88,88,8
80,fcarelli/glre,0,0,0,1
81,kircherlab/TF_enrichment_workflow,0,0,0,1
82,Magiduck/EindopdrachtOWE11,0,0,0,1
83,Xiuying/CallVars,0,0,0,1
84,Terkild/CITE-seq_optimization,1,8,8,2
85,sanjapriselac/InterdisciplinaryProject,0,0,0,1
86,niekh-13/phylogenetic_workflows,0,2,2,2
87,Lodewic/schiphol-assignment,0,0,0,2
88,jaimicore/Epromoters,0,0,0,1
89,songlab-cal/scquint,0,1,1,3
90,jlanga/ttin_assembly,1,0,0,2
